Date,zone,centre,Price
20-01-93,1,HISAR,NA
20-01-93,1,KARNAL,NA
20-01-93,1,SHIMLA,NA
20-01-93,1,MANDI,NA
20-01-93,1,SRINAGAR,NA
20-01-93,1,JAMMU,NA
20-01-93,1,AMRITSAR,NA
20-01-93,1,LUDHIANA,NA
20-01-93,1,LUCKNOW,NA
20-01-93,1,KANPUR,NA
20-01-93,1,CHANDIGARH,NA
20-01-93,1,DELHI,NA
20-01-93,2,AHMEDABAD,NA
20-01-93,2,RAJKOT,NA
20-01-93,2,PANAJI,NA
20-01-93,2,BHOPAL,NA
20-01-93,2,INDORE,NA
20-01-93,2,MUMBAI,NA
20-01-93,2,NAGPUR,NA
20-01-93,2,JAIPUR,NA
20-01-93,2,JODHPUR,NA
20-01-93,3,GUWAHATI,NA
20-01-93,3,PATNA,NA
20-01-93,3,SHILLONG,NA
20-01-93,3,AIZAWL,NA
20-01-93,3,BHUBANESHWAR,NA
20-01-93,3,CUTTACK,NA
20-01-93,3,KOLKATA,NA
20-01-93,3,AGARTALA,NA
20-01-93,4,HYDERABAD,NA
20-01-93,4,VIJAYAWADA,NA
20-01-93,4,BANGALORE,NA
20-01-93,4,THIRUVANANTHAPURAM,NA
20-01-93,4,ERNAKULAM,NA
20-01-93,4,CHENNAI,NA
20-01-93,4,MADURAI,NA
20-01-93,4,PONDICHERRY,NA
27-01-93,1,HISAR,NA
27-01-93,1,KARNAL,NA
27-01-93,1,SHIMLA,NA
27-01-93,1,MANDI,NA
27-01-93,1,SRINAGAR,NA
27-01-93,1,JAMMU,NA
27-01-93,1,AMRITSAR,NA
27-01-93,1,LUDHIANA,NA
27-01-93,1,LUCKNOW,NA
27-01-93,1,KANPUR,NA
27-01-93,1,CHANDIGARH,NA
27-01-93,1,DELHI,NA
27-01-93,2,AHMEDABAD,NA
27-01-93,2,RAJKOT,NA
27-01-93,2,PANAJI,NA
27-01-93,2,BHOPAL,NA
27-01-93,2,INDORE,NA
27-01-93,2,MUMBAI,NA
27-01-93,2,NAGPUR,NA
27-01-93,2,JAIPUR,NA
27-01-93,2,JODHPUR,NA
27-01-93,3,GUWAHATI,NA
27-01-93,3,PATNA,NA
27-01-93,3,SHILLONG,NA
27-01-93,3,AIZAWL,NA
27-01-93,3,BHUBANESHWAR,NA
27-01-93,3,CUTTACK,NA
27-01-93,3,KOLKATA,NA
27-01-93,3,AGARTALA,NA
27-01-93,4,HYDERABAD,NA
27-01-93,4,VIJAYAWADA,NA
27-01-93,4,BANGALORE,NA
27-01-93,4,THIRUVANANTHAPURAM,NA
27-01-93,4,ERNAKULAM,NA
27-01-93,4,CHENNAI,NA
27-01-93,4,MADURAI,NA
27-01-93,4,PONDICHERRY,NA
03-02-93,1,HISAR,NA
03-02-93,1,KARNAL,NA
03-02-93,1,SHIMLA,NA
03-02-93,1,MANDI,NA
03-02-93,1,SRINAGAR,NA
03-02-93,1,JAMMU,NA
03-02-93,1,AMRITSAR,NA
03-02-93,1,LUDHIANA,NA
03-02-93,1,LUCKNOW,NA
03-02-93,1,KANPUR,NA
03-02-93,1,CHANDIGARH,NA
03-02-93,1,DELHI,NA
03-02-93,2,AHMEDABAD,NA
03-02-93,2,RAJKOT,NA
03-02-93,2,PANAJI,NA
03-02-93,2,BHOPAL,NA
03-02-93,2,INDORE,NA
03-02-93,2,MUMBAI,NA
03-02-93,2,NAGPUR,NA
03-02-93,2,JAIPUR,NA
03-02-93,2,JODHPUR,NA
03-02-93,3,GUWAHATI,NA
03-02-93,3,PATNA,NA
03-02-93,3,SHILLONG,NA
03-02-93,3,AIZAWL,NA
03-02-93,3,BHUBANESHWAR,NA
03-02-93,3,CUTTACK,NA
03-02-93,3,KOLKATA,NA
03-02-93,3,AGARTALA,NA
03-02-93,4,HYDERABAD,NA
03-02-93,4,VIJAYAWADA,NA
03-02-93,4,BANGALORE,NA
03-02-93,4,THIRUVANANTHAPURAM,NA
03-02-93,4,ERNAKULAM,NA
03-02-93,4,CHENNAI,NA
03-02-93,4,MADURAI,NA
03-02-93,4,PONDICHERRY,NA
10-02-93,1,HISAR,NA
10-02-93,1,KARNAL,NA
10-02-93,1,SHIMLA,NA
10-02-93,1,MANDI,NA
10-02-93,1,SRINAGAR,NA
10-02-93,1,JAMMU,NA
10-02-93,1,AMRITSAR,NA
10-02-93,1,LUDHIANA,NA
10-02-93,1,LUCKNOW,NA
10-02-93,1,KANPUR,NA
10-02-93,1,CHANDIGARH,NA
10-02-93,1,DELHI,NA
10-02-93,2,AHMEDABAD,NA
10-02-93,2,RAJKOT,NA
10-02-93,2,PANAJI,NA
10-02-93,2,BHOPAL,NA
10-02-93,2,INDORE,NA
10-02-93,2,MUMBAI,NA
10-02-93,2,NAGPUR,NA
10-02-93,2,JAIPUR,NA
10-02-93,2,JODHPUR,NA
10-02-93,3,GUWAHATI,NA
10-02-93,3,PATNA,NA
10-02-93,3,SHILLONG,NA
10-02-93,3,AIZAWL,NA
10-02-93,3,BHUBANESHWAR,NA
10-02-93,3,CUTTACK,NA
10-02-93,3,KOLKATA,NA
10-02-93,3,AGARTALA,NA
10-02-93,4,HYDERABAD,NA
10-02-93,4,VIJAYAWADA,NA
10-02-93,4,BANGALORE,NA
10-02-93,4,THIRUVANANTHAPURAM,NA
10-02-93,4,ERNAKULAM,NA
10-02-93,4,CHENNAI,NA
10-02-93,4,MADURAI,NA
10-02-93,4,PONDICHERRY,NA
17-02-93,1,HISAR,NA
17-02-93,1,KARNAL,NA
17-02-93,1,SHIMLA,NA
17-02-93,1,MANDI,NA
17-02-93,1,SRINAGAR,NA
17-02-93,1,JAMMU,NA
17-02-93,1,AMRITSAR,NA
17-02-93,1,LUDHIANA,NA
17-02-93,1,LUCKNOW,NA
17-02-93,1,KANPUR,NA
17-02-93,1,CHANDIGARH,NA
17-02-93,1,DELHI,NA
17-02-93,2,AHMEDABAD,NA
17-02-93,2,RAJKOT,NA
17-02-93,2,PANAJI,NA
17-02-93,2,BHOPAL,NA
17-02-93,2,INDORE,NA
17-02-93,2,MUMBAI,NA
17-02-93,2,NAGPUR,NA
17-02-93,2,JAIPUR,NA
17-02-93,2,JODHPUR,NA
17-02-93,3,GUWAHATI,NA
17-02-93,3,PATNA,NA
17-02-93,3,SHILLONG,NA
17-02-93,3,AIZAWL,NA
17-02-93,3,BHUBANESHWAR,NA
17-02-93,3,CUTTACK,NA
17-02-93,3,KOLKATA,NA
17-02-93,3,AGARTALA,NA
17-02-93,4,HYDERABAD,NA
17-02-93,4,VIJAYAWADA,NA
17-02-93,4,BANGALORE,NA
17-02-93,4,THIRUVANANTHAPURAM,NA
17-02-93,4,ERNAKULAM,NA
17-02-93,4,CHENNAI,NA
17-02-93,4,MADURAI,NA
17-02-93,4,PONDICHERRY,NA
24-02-93,1,HISAR,NA
24-02-93,1,KARNAL,NA
24-02-93,1,SHIMLA,NA
24-02-93,1,MANDI,NA
24-02-93,1,SRINAGAR,NA
24-02-93,1,JAMMU,NA
24-02-93,1,AMRITSAR,NA
24-02-93,1,LUDHIANA,NA
24-02-93,1,LUCKNOW,NA
24-02-93,1,KANPUR,NA
24-02-93,1,CHANDIGARH,NA
24-02-93,1,DELHI,NA
24-02-93,2,AHMEDABAD,NA
24-02-93,2,RAJKOT,NA
24-02-93,2,PANAJI,NA
24-02-93,2,BHOPAL,NA
24-02-93,2,INDORE,NA
24-02-93,2,MUMBAI,NA
24-02-93,2,NAGPUR,NA
24-02-93,2,JAIPUR,NA
24-02-93,2,JODHPUR,NA
24-02-93,3,GUWAHATI,NA
24-02-93,3,PATNA,NA
24-02-93,3,SHILLONG,NA
24-02-93,3,AIZAWL,NA
24-02-93,3,BHUBANESHWAR,NA
24-02-93,3,CUTTACK,NA
24-02-93,3,KOLKATA,NA
24-02-93,3,AGARTALA,NA
24-02-93,4,HYDERABAD,NA
24-02-93,4,VIJAYAWADA,NA
24-02-93,4,BANGALORE,NA
24-02-93,4,THIRUVANANTHAPURAM,NA
24-02-93,4,ERNAKULAM,NA
24-02-93,4,CHENNAI,NA
24-02-93,4,MADURAI,NA
24-02-93,4,PONDICHERRY,NA
03-03-93,1,HISAR,NA
03-03-93,1,KARNAL,NA
03-03-93,1,SHIMLA,NA
03-03-93,1,MANDI,NA
03-03-93,1,SRINAGAR,NA
03-03-93,1,JAMMU,NA
03-03-93,1,AMRITSAR,NA
03-03-93,1,LUDHIANA,NA
03-03-93,1,LUCKNOW,NA
03-03-93,1,KANPUR,NA
03-03-93,1,CHANDIGARH,NA
03-03-93,1,DELHI,NA
03-03-93,2,AHMEDABAD,NA
03-03-93,2,RAJKOT,NA
03-03-93,2,PANAJI,NA
03-03-93,2,BHOPAL,NA
03-03-93,2,INDORE,NA
03-03-93,2,MUMBAI,NA
03-03-93,2,NAGPUR,NA
03-03-93,2,JAIPUR,NA
03-03-93,2,JODHPUR,NA
03-03-93,3,GUWAHATI,NA
03-03-93,3,PATNA,NA
03-03-93,3,SHILLONG,NA
03-03-93,3,AIZAWL,NA
03-03-93,3,BHUBANESHWAR,NA
03-03-93,3,CUTTACK,NA
03-03-93,3,KOLKATA,NA
03-03-93,3,AGARTALA,NA
03-03-93,4,HYDERABAD,NA
03-03-93,4,VIJAYAWADA,NA
03-03-93,4,BANGALORE,NA
03-03-93,4,THIRUVANANTHAPURAM,NA
03-03-93,4,ERNAKULAM,NA
03-03-93,4,CHENNAI,NA
03-03-93,4,MADURAI,NA
03-03-93,4,PONDICHERRY,NA
10-03-93,1,HISAR,NA
10-03-93,1,KARNAL,NA
10-03-93,1,SHIMLA,NA
10-03-93,1,MANDI,NA
10-03-93,1,SRINAGAR,NA
10-03-93,1,JAMMU,NA
10-03-93,1,AMRITSAR,NA
10-03-93,1,LUDHIANA,NA
10-03-93,1,LUCKNOW,NA
10-03-93,1,KANPUR,NA
10-03-93,1,CHANDIGARH,NA
10-03-93,1,DELHI,NA
10-03-93,2,AHMEDABAD,NA
10-03-93,2,RAJKOT,NA
10-03-93,2,PANAJI,NA
10-03-93,2,BHOPAL,NA
10-03-93,2,INDORE,NA
10-03-93,2,MUMBAI,NA
10-03-93,2,NAGPUR,NA
10-03-93,2,JAIPUR,NA
10-03-93,2,JODHPUR,NA
10-03-93,3,GUWAHATI,NA
10-03-93,3,PATNA,NA
10-03-93,3,SHILLONG,NA
10-03-93,3,AIZAWL,NA
10-03-93,3,BHUBANESHWAR,NA
10-03-93,3,CUTTACK,NA
10-03-93,3,KOLKATA,NA
10-03-93,3,AGARTALA,NA
10-03-93,4,HYDERABAD,NA
10-03-93,4,VIJAYAWADA,NA
10-03-93,4,BANGALORE,NA
10-03-93,4,THIRUVANANTHAPURAM,NA
10-03-93,4,ERNAKULAM,NA
10-03-93,4,CHENNAI,NA
10-03-93,4,MADURAI,NA
10-03-93,4,PONDICHERRY,NA
17-03-93,1,HISAR,NA
17-03-93,1,KARNAL,NA
17-03-93,1,SHIMLA,NA
17-03-93,1,MANDI,NA
17-03-93,1,SRINAGAR,NA
17-03-93,1,JAMMU,NA
17-03-93,1,AMRITSAR,NA
17-03-93,1,LUDHIANA,NA
17-03-93,1,LUCKNOW,NA
17-03-93,1,KANPUR,NA
17-03-93,1,CHANDIGARH,NA
17-03-93,1,DELHI,NA
17-03-93,2,AHMEDABAD,NA
17-03-93,2,RAJKOT,NA
17-03-93,2,PANAJI,NA
17-03-93,2,BHOPAL,NA
17-03-93,2,INDORE,NA
17-03-93,2,MUMBAI,NA
17-03-93,2,NAGPUR,NA
17-03-93,2,JAIPUR,NA
17-03-93,2,JODHPUR,NA
17-03-93,3,GUWAHATI,NA
17-03-93,3,PATNA,NA
17-03-93,3,SHILLONG,NA
17-03-93,3,AIZAWL,NA
17-03-93,3,BHUBANESHWAR,NA
17-03-93,3,CUTTACK,NA
17-03-93,3,KOLKATA,NA
17-03-93,3,AGARTALA,NA
17-03-93,4,HYDERABAD,NA
17-03-93,4,VIJAYAWADA,NA
17-03-93,4,BANGALORE,NA
17-03-93,4,THIRUVANANTHAPURAM,NA
17-03-93,4,ERNAKULAM,NA
17-03-93,4,CHENNAI,NA
17-03-93,4,MADURAI,NA
17-03-93,4,PONDICHERRY,NA
24-03-93,1,HISAR,NA
24-03-93,1,KARNAL,NA
24-03-93,1,SHIMLA,NA
24-03-93,1,MANDI,NA
24-03-93,1,SRINAGAR,NA
24-03-93,1,JAMMU,NA
24-03-93,1,AMRITSAR,NA
24-03-93,1,LUDHIANA,NA
24-03-93,1,LUCKNOW,NA
24-03-93,1,KANPUR,NA
24-03-93,1,CHANDIGARH,NA
24-03-93,1,DELHI,NA
24-03-93,2,AHMEDABAD,NA
24-03-93,2,RAJKOT,NA
24-03-93,2,PANAJI,NA
24-03-93,2,BHOPAL,NA
24-03-93,2,INDORE,NA
24-03-93,2,MUMBAI,NA
24-03-93,2,NAGPUR,NA
24-03-93,2,JAIPUR,NA
24-03-93,2,JODHPUR,NA
24-03-93,3,GUWAHATI,NA
24-03-93,3,PATNA,NA
24-03-93,3,SHILLONG,NA
24-03-93,3,AIZAWL,NA
24-03-93,3,BHUBANESHWAR,NA
24-03-93,3,CUTTACK,NA
24-03-93,3,KOLKATA,NA
24-03-93,3,AGARTALA,NA
24-03-93,4,HYDERABAD,NA
24-03-93,4,VIJAYAWADA,NA
24-03-93,4,BANGALORE,NA
24-03-93,4,THIRUVANANTHAPURAM,NA
24-03-93,4,ERNAKULAM,NA
24-03-93,4,CHENNAI,NA
24-03-93,4,MADURAI,NA
24-03-93,4,PONDICHERRY,NA
31-03-93,1,HISAR,NA
31-03-93,1,KARNAL,NA
31-03-93,1,SHIMLA,NA
31-03-93,1,MANDI,NA
31-03-93,1,SRINAGAR,NA
31-03-93,1,JAMMU,NA
31-03-93,1,AMRITSAR,NA
31-03-93,1,LUDHIANA,NA
31-03-93,1,LUCKNOW,NA
31-03-93,1,KANPUR,NA
31-03-93,1,CHANDIGARH,NA
31-03-93,1,DELHI,NA
31-03-93,2,AHMEDABAD,NA
31-03-93,2,RAJKOT,NA
31-03-93,2,PANAJI,NA
31-03-93,2,BHOPAL,NA
31-03-93,2,INDORE,NA
31-03-93,2,MUMBAI,NA
31-03-93,2,NAGPUR,NA
31-03-93,2,JAIPUR,NA
31-03-93,2,JODHPUR,NA
31-03-93,3,GUWAHATI,NA
31-03-93,3,PATNA,NA
31-03-93,3,SHILLONG,NA
31-03-93,3,AIZAWL,NA
31-03-93,3,BHUBANESHWAR,NA
31-03-93,3,CUTTACK,NA
31-03-93,3,KOLKATA,NA
31-03-93,3,AGARTALA,NA
31-03-93,4,HYDERABAD,NA
31-03-93,4,VIJAYAWADA,NA
31-03-93,4,BANGALORE,NA
31-03-93,4,THIRUVANANTHAPURAM,NA
31-03-93,4,ERNAKULAM,NA
31-03-93,4,CHENNAI,NA
31-03-93,4,MADURAI,NA
31-03-93,4,PONDICHERRY,NA
07-04-93,1,HISAR,NA
07-04-93,1,KARNAL,NA
07-04-93,1,SHIMLA,NA
07-04-93,1,MANDI,NA
07-04-93,1,SRINAGAR,NA
07-04-93,1,JAMMU,NA
07-04-93,1,AMRITSAR,NA
07-04-93,1,LUDHIANA,NA
07-04-93,1,LUCKNOW,NA
07-04-93,1,KANPUR,NA
07-04-93,1,CHANDIGARH,NA
07-04-93,1,DELHI,NA
07-04-93,2,AHMEDABAD,NA
07-04-93,2,RAJKOT,NA
07-04-93,2,PANAJI,NA
07-04-93,2,BHOPAL,NA
07-04-93,2,INDORE,NA
07-04-93,2,MUMBAI,NA
07-04-93,2,NAGPUR,NA
07-04-93,2,JAIPUR,NA
07-04-93,2,JODHPUR,NA
07-04-93,3,GUWAHATI,NA
07-04-93,3,PATNA,NA
07-04-93,3,SHILLONG,NA
07-04-93,3,AIZAWL,NA
07-04-93,3,BHUBANESHWAR,NA
07-04-93,3,CUTTACK,NA
07-04-93,3,KOLKATA,NA
07-04-93,3,AGARTALA,NA
07-04-93,4,HYDERABAD,NA
07-04-93,4,VIJAYAWADA,NA
07-04-93,4,BANGALORE,NA
07-04-93,4,THIRUVANANTHAPURAM,NA
07-04-93,4,ERNAKULAM,NA
07-04-93,4,CHENNAI,NA
07-04-93,4,MADURAI,NA
07-04-93,4,PONDICHERRY,NA
14-04-93,1,HISAR,NA
14-04-93,1,KARNAL,NA
14-04-93,1,SHIMLA,NA
14-04-93,1,MANDI,NA
14-04-93,1,SRINAGAR,NA
14-04-93,1,JAMMU,NA
14-04-93,1,AMRITSAR,NA
14-04-93,1,LUDHIANA,NA
14-04-93,1,LUCKNOW,NA
14-04-93,1,KANPUR,NA
14-04-93,1,CHANDIGARH,NA
14-04-93,1,DELHI,NA
14-04-93,2,AHMEDABAD,NA
14-04-93,2,RAJKOT,NA
14-04-93,2,PANAJI,NA
14-04-93,2,BHOPAL,NA
14-04-93,2,INDORE,NA
14-04-93,2,MUMBAI,NA
14-04-93,2,NAGPUR,NA
14-04-93,2,JAIPUR,NA
14-04-93,2,JODHPUR,NA
14-04-93,3,GUWAHATI,NA
14-04-93,3,PATNA,NA
14-04-93,3,SHILLONG,NA
14-04-93,3,AIZAWL,NA
14-04-93,3,BHUBANESHWAR,NA
14-04-93,3,CUTTACK,NA
14-04-93,3,KOLKATA,NA
14-04-93,3,AGARTALA,NA
14-04-93,4,HYDERABAD,NA
14-04-93,4,VIJAYAWADA,NA
14-04-93,4,BANGALORE,NA
14-04-93,4,THIRUVANANTHAPURAM,NA
14-04-93,4,ERNAKULAM,NA
14-04-93,4,CHENNAI,NA
14-04-93,4,MADURAI,NA
14-04-93,4,PONDICHERRY,NA
21-04-93,1,HISAR,NA
21-04-93,1,KARNAL,NA
21-04-93,1,SHIMLA,NA
21-04-93,1,MANDI,NA
21-04-93,1,SRINAGAR,NA
21-04-93,1,JAMMU,NA
21-04-93,1,AMRITSAR,NA
21-04-93,1,LUDHIANA,NA
21-04-93,1,LUCKNOW,NA
21-04-93,1,KANPUR,NA
21-04-93,1,CHANDIGARH,NA
21-04-93,1,DELHI,NA
21-04-93,2,AHMEDABAD,NA
21-04-93,2,RAJKOT,NA
21-04-93,2,PANAJI,NA
21-04-93,2,BHOPAL,NA
21-04-93,2,INDORE,NA
21-04-93,2,MUMBAI,NA
21-04-93,2,NAGPUR,NA
21-04-93,2,JAIPUR,NA
21-04-93,2,JODHPUR,NA
21-04-93,3,GUWAHATI,NA
21-04-93,3,PATNA,NA
21-04-93,3,SHILLONG,NA
21-04-93,3,AIZAWL,NA
21-04-93,3,BHUBANESHWAR,NA
21-04-93,3,CUTTACK,NA
21-04-93,3,KOLKATA,NA
21-04-93,3,AGARTALA,NA
21-04-93,4,HYDERABAD,NA
21-04-93,4,VIJAYAWADA,NA
21-04-93,4,BANGALORE,NA
21-04-93,4,THIRUVANANTHAPURAM,NA
21-04-93,4,ERNAKULAM,NA
21-04-93,4,CHENNAI,NA
21-04-93,4,MADURAI,NA
21-04-93,4,PONDICHERRY,NA
28-04-93,1,HISAR,NA
28-04-93,1,KARNAL,NA
28-04-93,1,SHIMLA,NA
28-04-93,1,MANDI,NA
28-04-93,1,SRINAGAR,NA
28-04-93,1,JAMMU,NA
28-04-93,1,AMRITSAR,NA
28-04-93,1,LUDHIANA,NA
28-04-93,1,LUCKNOW,NA
28-04-93,1,KANPUR,NA
28-04-93,1,CHANDIGARH,NA
28-04-93,1,DELHI,NA
28-04-93,2,AHMEDABAD,NA
28-04-93,2,RAJKOT,NA
28-04-93,2,PANAJI,NA
28-04-93,2,BHOPAL,NA
28-04-93,2,INDORE,NA
28-04-93,2,MUMBAI,NA
28-04-93,2,NAGPUR,NA
28-04-93,2,JAIPUR,NA
28-04-93,2,JODHPUR,NA
28-04-93,3,GUWAHATI,NA
28-04-93,3,PATNA,NA
28-04-93,3,SHILLONG,NA
28-04-93,3,AIZAWL,NA
28-04-93,3,BHUBANESHWAR,NA
28-04-93,3,CUTTACK,NA
28-04-93,3,KOLKATA,NA
28-04-93,3,AGARTALA,NA
28-04-93,4,HYDERABAD,NA
28-04-93,4,VIJAYAWADA,NA
28-04-93,4,BANGALORE,NA
28-04-93,4,THIRUVANANTHAPURAM,NA
28-04-93,4,ERNAKULAM,NA
28-04-93,4,CHENNAI,NA
28-04-93,4,MADURAI,NA
28-04-93,4,PONDICHERRY,NA
05-05-93,1,HISAR,NA
05-05-93,1,KARNAL,NA
05-05-93,1,SHIMLA,NA
05-05-93,1,MANDI,NA
05-05-93,1,SRINAGAR,NA
05-05-93,1,JAMMU,NA
05-05-93,1,AMRITSAR,NA
05-05-93,1,LUDHIANA,NA
05-05-93,1,LUCKNOW,NA
05-05-93,1,KANPUR,NA
05-05-93,1,CHANDIGARH,NA
05-05-93,1,DELHI,NA
05-05-93,2,AHMEDABAD,NA
05-05-93,2,RAJKOT,NA
05-05-93,2,PANAJI,NA
05-05-93,2,BHOPAL,NA
05-05-93,2,INDORE,NA
05-05-93,2,MUMBAI,NA
05-05-93,2,NAGPUR,NA
05-05-93,2,JAIPUR,NA
05-05-93,2,JODHPUR,NA
05-05-93,3,GUWAHATI,NA
05-05-93,3,PATNA,NA
05-05-93,3,SHILLONG,NA
05-05-93,3,AIZAWL,NA
05-05-93,3,BHUBANESHWAR,NA
05-05-93,3,CUTTACK,NA
05-05-93,3,KOLKATA,NA
05-05-93,3,AGARTALA,NA
05-05-93,4,HYDERABAD,NA
05-05-93,4,VIJAYAWADA,NA
05-05-93,4,BANGALORE,NA
05-05-93,4,THIRUVANANTHAPURAM,NA
05-05-93,4,ERNAKULAM,NA
05-05-93,4,CHENNAI,NA
05-05-93,4,MADURAI,NA
05-05-93,4,PONDICHERRY,NA
12-05-93,1,HISAR,NA
12-05-93,1,KARNAL,NA
12-05-93,1,SHIMLA,NA
12-05-93,1,MANDI,NA
12-05-93,1,SRINAGAR,NA
12-05-93,1,JAMMU,NA
12-05-93,1,AMRITSAR,NA
12-05-93,1,LUDHIANA,NA
12-05-93,1,LUCKNOW,NA
12-05-93,1,KANPUR,NA
12-05-93,1,CHANDIGARH,NA
12-05-93,1,DELHI,NA
12-05-93,2,AHMEDABAD,NA
12-05-93,2,RAJKOT,NA
12-05-93,2,PANAJI,NA
12-05-93,2,BHOPAL,NA
12-05-93,2,INDORE,NA
12-05-93,2,MUMBAI,NA
12-05-93,2,NAGPUR,NA
12-05-93,2,JAIPUR,NA
12-05-93,2,JODHPUR,NA
12-05-93,3,GUWAHATI,NA
12-05-93,3,PATNA,NA
12-05-93,3,SHILLONG,NA
12-05-93,3,AIZAWL,NA
12-05-93,3,BHUBANESHWAR,NA
12-05-93,3,CUTTACK,NA
12-05-93,3,KOLKATA,NA
12-05-93,3,AGARTALA,NA
12-05-93,4,HYDERABAD,NA
12-05-93,4,VIJAYAWADA,NA
12-05-93,4,BANGALORE,NA
12-05-93,4,THIRUVANANTHAPURAM,NA
12-05-93,4,ERNAKULAM,NA
12-05-93,4,CHENNAI,NA
12-05-93,4,MADURAI,NA
12-05-93,4,PONDICHERRY,NA
19-05-93,1,HISAR,NA
19-05-93,1,KARNAL,NA
19-05-93,1,SHIMLA,NA
19-05-93,1,MANDI,NA
19-05-93,1,SRINAGAR,NA
19-05-93,1,JAMMU,NA
19-05-93,1,AMRITSAR,NA
19-05-93,1,LUDHIANA,NA
19-05-93,1,LUCKNOW,NA
19-05-93,1,KANPUR,NA
19-05-93,1,CHANDIGARH,NA
19-05-93,1,DELHI,NA
19-05-93,2,AHMEDABAD,NA
19-05-93,2,RAJKOT,NA
19-05-93,2,PANAJI,NA
19-05-93,2,BHOPAL,NA
19-05-93,2,INDORE,NA
19-05-93,2,MUMBAI,NA
19-05-93,2,NAGPUR,NA
19-05-93,2,JAIPUR,NA
19-05-93,2,JODHPUR,NA
19-05-93,3,GUWAHATI,NA
19-05-93,3,PATNA,NA
19-05-93,3,SHILLONG,NA
19-05-93,3,AIZAWL,NA
19-05-93,3,BHUBANESHWAR,NA
19-05-93,3,CUTTACK,NA
19-05-93,3,KOLKATA,NA
19-05-93,3,AGARTALA,NA
19-05-93,4,HYDERABAD,NA
19-05-93,4,VIJAYAWADA,NA
19-05-93,4,BANGALORE,NA
19-05-93,4,THIRUVANANTHAPURAM,NA
19-05-93,4,ERNAKULAM,NA
19-05-93,4,CHENNAI,NA
19-05-93,4,MADURAI,NA
19-05-93,4,PONDICHERRY,NA
26-05-93,1,HISAR,NA
26-05-93,1,KARNAL,NA
26-05-93,1,SHIMLA,NA
26-05-93,1,MANDI,NA
26-05-93,1,SRINAGAR,NA
26-05-93,1,JAMMU,NA
26-05-93,1,AMRITSAR,NA
26-05-93,1,LUDHIANA,NA
26-05-93,1,LUCKNOW,NA
26-05-93,1,KANPUR,NA
26-05-93,1,CHANDIGARH,NA
26-05-93,1,DELHI,NA
26-05-93,2,AHMEDABAD,NA
26-05-93,2,RAJKOT,NA
26-05-93,2,PANAJI,NA
26-05-93,2,BHOPAL,NA
26-05-93,2,INDORE,NA
26-05-93,2,MUMBAI,NA
26-05-93,2,NAGPUR,NA
26-05-93,2,JAIPUR,NA
26-05-93,2,JODHPUR,NA
